intersection,union-intersection,jaccard,n_intersections,name_1,name_2
5855882,67102059,0.0872683,52985,b5.NH-A-H2AZ,b3.NH-A-DNase
1273772,46560364,0.0273574,3210,b5.NH-A-H2AZ,b4.NH-A-EZH2
44222041,44222041,1.0,96634,b5.NH-A-H2AZ,b5.NH-A-H2AZ
15001480,146741583,0.10223099999999999,69908,b6.NH-A-H3K27ac,a1.E081
14405893,142847529,0.10084800000000001,77416,b6.NH-A-H3K27ac,a2.E082
30315418,200316130,0.151338,37131,b6.NH-A-H3K27ac,a3.Noonan
232304,120015552,0.00193562,1462,b6.NH-A-H3K27ac,a4.E129
9851893,101219950,0.0973315,43829,b6.NH-A-H3K27ac,a5.hNSC-50
5245833,91978814,0.0570331,30942,b6.NH-A-H3K27ac,a6.hNSC-P5-1
5365213,93632273,0.0573009,32896,b6.NH-A-H3K27ac,a7.hNSC-P5-2
5970058,93270185,0.0640082,35421,b6.NH-A-H3K27ac,a8.hNSC-P15-1
5485017,106551201,0.051477800000000004,44550,b6.NH-A-H3K27ac,b1.Chorion-DNase
1576662,93988481,0.016775099999999998,8129,b6.NH-A-H3K27ac,b2.NH-A-CTCF
9572371,104131577,0.0919257,82508,b6.NH-A-H3K27ac,b3.NH-A-DNase
116242,88463901,0.001314,354,b6.NH-A-H3K27ac,b4.NH-A-EZH2
23777843,105412246,0.22557,54770,b6.NH-A-H3K27ac,b5.NH-A-H2AZ
84968048,84968048,1.0,117667,b6.NH-A-H3K27ac,b6.NH-A-H3K27ac
4605080,136258920,0.0337965,35210,b7.NH-A-H3K27me3,a1.E081
4865907,131508452,0.0370007,42088,b7.NH-A-H3K27me3,a2.E082
13795214,195957271,0.0703991,37529,b7.NH-A-H3K27me3,a3.Noonan
414202,98954591,0.00418578,3174,b7.NH-A-H3K27me3,a4.E129
918476,89274304,0.0102882,7884,b7.NH-A-H3K27me3,a5.hNSC-50
347506,75998078,0.00457256,3388,b7.NH-A-H3K27me3,a6.hNSC-P5-1
410169,77708254,0.00527832,4236,b7.NH-A-H3K27me3,a7.hNSC-P5-2
369261,77991919,0.00473461,3831,b7.NH-A-H3K27me3,a8.hNSC-P15-1
2337878,88819277,0.0263217,20262,b7.NH-A-H3K27me3,b1.Chorion-DNase
282505,74403575,0.00379693,2119,b7.NH-A-H3K27me3,b2.NH-A-CTCF
379129,92445756,0.0041011,3836,b7.NH-A-H3K27me3,b3.NH-A-DNase
2704816,64996264,0.0416149,5461,b7.NH-A-H3K27me3,b4.NH-A-EZH2
2785821,105525205,0.0263996,11162,b7.NH-A-H3K27me3,b5.NH-A-H2AZ
415413,148641620,0.00279473,1554,b7.NH-A-H3K27me3,b6.NH-A-H3K27ac
64088985,64088985,1.0,199117,b7.NH-A-H3K27me3,b7.NH-A-H3K27me3
